,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
605,FHEDecisionTreeClassifier,7,2,10,0.40718483400996774,0.7191780420253053,140.34150479204254,0.72,0.6759259259259259
606,FHEDecisionTreeClassifier,7,2,11,0.20523533294908702,0.566806125047151,139.20766116701998,0.752,0.6593406593406593
607,FHEDecisionTreeClassifier,7,2,12,0.6388324999716133,0.6369197079911828,135.00690958299674,0.768,0.7128712871287128
608,FHEDecisionTreeClassifier,7,2,13,0.4280328750028275,0.6716544170049019,133.28824437502772,0.716,0.5942857142857143
609,FHEDecisionTreeClassifier,7,2,14,0.4838612909661606,0.7069933749735355,131.07699662499363,0.792,0.7011494252873564
610,FHEDecisionTreeClassifier,7,2,15,0.56306808401132,0.6297179580433294,131.63043187500443,0.744,0.6767676767676768
611,FHEDecisionTreeClassifier,7,2,16,0.56830441695638,0.6248592500342056,128.25220937497215,0.724,0.6634146341463415
612,FHEDecisionTreeClassifier,7,2,17,0.27263462502742186,0.5419362090178765,138.79826670803595,0.768,0.7156862745098039
613,FHEDecisionTreeClassifier,7,2,18,0.4807705000275746,0.6641867089783773,137.64622570801293,0.756,0.6965174129353234
614,FHEDecisionTreeClassifier,7,2,19,0.35205837502144277,0.658633999992162,139.61330133304,0.732,0.6794258373205742
615,FHEDecisionTreeClassifier,7,3,5,0.27166262501850724,0.7199377500219271,151.05852495803265,0.92,0.9193548387096774
616,FHEDecisionTreeClassifier,7,3,6,0.24321812496054918,0.7237399579607882,149.88956745900214,0.912,0.905982905982906
617,FHEDecisionTreeClassifier,7,3,7,0.2160002919845283,0.6769536249921657,148.00370541698067,0.892,0.8860759493670886
618,FHEDecisionTreeClassifier,7,3,8,0.2742952919797972,0.7093300839769654,149.93256766698323,0.904,0.896551724137931
619,FHEDecisionTreeClassifier,7,3,9,0.4131938749924302,0.7337523340247571,144.39945312496275,0.916,0.9113924050632911
620,FHEDecisionTreeClassifier,7,3,10,0.4912780839949846,0.7607371250051074,145.48561316600535,0.908,0.9132075471698113
621,FHEDecisionTreeClassifier,7,3,11,0.5225044589606114,0.6840074170031585,149.3779531249893,0.912,0.9051724137931034
622,FHEDecisionTreeClassifier,7,3,12,0.24033145798603073,0.6842623749980703,157.22384358296404,0.92,0.9145299145299145
623,FHEDecisionTreeClassifier,7,3,13,0.4689513749908656,0.8052798340213485,156.87912262498867,0.948,0.946058091286307
624,FHEDecisionTreeClassifier,7,3,14,0.546836459019687,0.59766954096267,148.54519791697385,0.884,0.867579908675799
625,FHEDecisionTreeClassifier,7,3,15,0.6649750000215136,0.663409499975387,145.50615804101108,0.912,0.9098360655737705
626,FHEDecisionTreeClassifier,7,3,16,0.6049406249658205,0.7021809169673361,144.8564726249897,0.912,0.9083333333333333
